,title,handle,created,product_type,price,sku,available,image
0,VINCA - GRANDE - BOTTOM,vinca-grande-bottom,2022-02-08T17:44:53+08:00,Bottoms,0.00,VINRANBOTXL,True,"{'id': 28511163842656, 'created_at': '2022-02-08T17:44:53+08:00', 'position': 2, 'updated_at': '2022-02-08T17:44:53+08:00', 'product_id': 6595728146528, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.VINCA_GRANDE_FRONT.jpg?v=1644313493', 'width': 1400, 'height': 1786}"
1,VINCA - GRANDE,vinca-grande,2022-02-08T17:45:02+08:00,Swimwear,99.00,VINRANTOPXL,True,"{'id': 28511164366944, 'created_at': '2022-02-08T17:45:03+08:00', 'position': 9, 'updated_at': '2022-02-08T17:45:03+08:00', 'product_id': 6595728212064, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/9.Triangl_image24-708.jpg?v=1644313503', 'width': 1400, 'height': 1786}"
2,VINCA - BONNE - BOTTOM,vinca-bonne-bottom,2022-02-08T17:44:39+08:00,Bottoms,0.00,VINBONBOTXL,True,"{'id': 28511163121760, 'created_at': '2022-02-08T17:44:39+08:00', 'position': 2, 'updated_at': '2022-02-08T17:44:39+08:00', 'product_id': 6595728080992, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.VINCA_BONNE_FRONT.jpg?v=1644313479', 'width': 1400, 'height': 1786}"
3,VINCA - BONNE,vinca-bonne,2022-02-08T17:44:50+08:00,Swimwear,99.00,VINBONTOPXL,True,"{'id': 28511163711584, 'created_at': '2022-02-08T17:44:50+08:00', 'position': 9, 'updated_at': '2022-02-08T17:44:50+08:00', 'product_id': 6595728113760, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/9.Triangl_image176-283.jpg?v=1644313490', 'width': 1400, 'height': 1786}"
4,MICA - BONNE,mica-bonne,2022-02-08T17:44:14+08:00,Swimwear,99.00,MICBONTOPXL,True,"{'id': 28511162630240, 'created_at': '2022-02-08T17:44:15+08:00', 'position': 11, 'updated_at': '2022-02-08T17:44:15+08:00', 'product_id': 6595727982688, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.Triangl_image31-835.jpg?v=1644313455', 'width': 1400, 'height': 1786}"
5,MICA - BONNE - BOTTOM,mica-bonne-bottom,2022-02-08T17:43:59+08:00,Bottoms,0.00,MICBONBBOTXL,True,"{'id': 28511162269792, 'created_at': '2022-02-08T17:43:59+08:00', 'position': 2, 'updated_at': '2022-02-08T17:43:59+08:00', 'product_id': 6595727949920, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MICA_BONNE_FRONT.jpg?v=1644313439', 'width': 1400, 'height': 1786}"
6,MELROSE - GRANDE,melrose-grande,2022-02-08T17:45:30+08:00,Swimwear,99.00,MELRANTOPXL,True,"{'id': 28511165153376, 'created_at': '2022-02-08T17:45:30+08:00', 'position': 11, 'updated_at': '2022-02-08T17:45:30+08:00', 'product_id': 6595728343136, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.Triangl_image9-50.jpg?v=1644313530', 'width': 1400, 'height': 1786}"
7,MELROSE - GRANDE - BOTTOM,melrose-grande-bottom,2022-02-08T17:45:19+08:00,Bottoms,0.00,MELRANBBOTXL,True,"{'id': 28511164792928, 'created_at': '2022-02-08T17:45:19+08:00', 'position': 2, 'updated_at': '2022-02-08T17:45:19+08:00', 'product_id': 6595728310368, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MELROSE_GRANDE_FRONT.jpg?v=1644313519', 'width': 1400, 'height': 1786}"
8,MALA - BONNE,mala-bonne,2022-02-08T17:45:15+08:00,Swimwear,109.00,MALBONTOPXL,True,"{'id': 28511171772512, 'created_at': '2022-02-08T17:47:27+08:00', 'position': 9, 'updated_at': '2022-02-08T17:47:30+08:00', 'product_id': 6595728277600, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/9.Triangl_image109-156.jpg?v=1644313650', 'width': 1400, 'height': 1786}"
9,MALA - BONNE - BOTTOM,mala-bonne-bottom,2022-02-08T17:45:06+08:00,Bottoms,0.00,MALBONBOTXL,True,"{'id': 28511164432480, 'created_at': '2022-02-08T17:45:06+08:00', 'position': 2, 'updated_at': '2022-02-08T17:45:06+08:00', 'product_id': 6595728244832, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MALA_BONNE_FRONT.jpg?v=1644313506', 'width': 1400, 'height': 1786}"
